id; s_m; d_m; x_m; y_m; d_right; d_left; psi_rad; kappa_radpm; vx_mps; ax_mps2
0;0.00000000;0.00000000;23.44135204;-3.79525891;1.90519405;1.35064075;0.27495044;0.31506861;0.00000000;0.00000000
1;0.10000000;0.00000000;23.53754850;-3.76812236;1.93224658;1.35557019;0.30645730;0.49048441;0.00000000;0.00000000
2;0.20000000;0.00000000;23.63180976;-3.73499320;1.96526796;1.36155458;0.37304732;0.64039666;0.00000000;0.00000000
3;0.30000000;0.00000000;23.72354159;-3.69532968;2.00481145;1.36688764;0.43453663;0.58752150;0.00000000;0.00000000
4;0.40000000;0.00000000;23.81306304;-3.65086932;2.04917400;1.36844124;0.49055162;0.60791941;0.00000000;0.00000000
5;0.50000000;0.00000000;23.89979459;-3.60119349;2.04999808;1.37137803;0.55612052;0.69803230;0.00000000;0.00000000
6;0.60000000;0.00000000;23.98271224;-3.54542246;2.02310787;1.37440396;0.63015808;0.71878248;0.00000000;0.00000000
7;0.70000000;0.00000000;24.06115760;-3.48350227;1.99147613;1.37709007;0.69987701;0.66188530;0.00000000;0.00000000
8;0.80000000;0.00000000;24.13552406;-3.41674297;1.97060490;1.38069562;0.76253514;0.67210858;0.00000000;0.00000000
9;0.90000000;0.00000000;24.20562001;-3.34549900;1.94531008;1.37988316;0.83429873;0.73029938;0.00000000;0.00000000
10;1.00000000;0.00000000;24.26967372;-3.26878718;1.92955306;1.37092576;0.90859502;0.68043332;0.00000000;0.00000000
11;1.10000000;0.00000000;24.32845287;-3.18794790;1.92556765;1.36073210;0.97038539;0.61365034;0.00000000;0.00000000
12;1.20000000;0.00000000;24.38256214;-3.10392405;1.92409088;1.35218785;1.03132509;0.61849916;0.00000000;0.00000000
13;1.30000000;0.00000000;24.43106597;-3.01655789;1.88521567;1.34447654;1.09408522;0.61548113;0.00000000;0.00000000
14;1.40000000;0.00000000;24.47423581;-2.92641246;1.85667386;1.33815565;1.15442131;0.59162539;0.00000000;0.00000000
15;1.50000000;0.00000000;24.51187987;-2.83381678;1.83908924;1.33324120;1.21241030;0.55741257;0.00000000;0.00000000
16;1.60000000;0.00000000;24.54433173;-2.73927109;1.83234526;1.33026638;1.26590383;0.49007451;0.00000000;0.00000000
17;1.70000000;0.00000000;24.57187405;-2.64318060;1.82851793;1.32965334;1.31042520;0.38497156;0.00000000;0.00000000
18;1.80000000;0.00000000;24.59579197;-2.54611577;1.80466868;1.33279914;1.34289814;0.33493274;0.00000000;0.00000000
19;1.90000000;0.00000000;24.61703866;-2.44844461;1.78348175;1.33596885;1.37741175;0.37491866;0.00000000;0.00000000
20;2.00000000;0.00000000;24.63420230;-2.34997649;1.76636068;1.34010421;1.41788187;0.39151551;0.00000000;0.00000000
21;2.10000000;0.00000000;24.64748290;-2.25090555;1.75310771;1.34774434;1.45571485;0.36591838;0.00000000;0.00000000
22;2.20000000;0.00000000;24.65715417;-2.15141754;1.74345264;1.35742361;1.49106555;0.34045122;0.00000000;0.00000000
23;2.30000000;0.00000000;24.66340314;-2.05165384;1.73721160;1.36367580;1.52380510;0.31193664;0.00000000;0.00000000
24;2.40000000;0.00000000;24.66654408;-1.95174205;1.73407361;1.36847203;1.55345288;0.28316869;0.00000000;0.00000000
25;2.50000000;0.00000000;24.66686999;-1.85177984;1.73374830;1.37772207;1.58043883;0.25952901;0.00000000;0.00000000
26;2.60000000;0.00000000;24.66461648;-1.75184156;1.73600215;1.39156244;1.60535868;0.23902621;0.00000000;0.00000000
27;2.70000000;0.00000000;24.65996186;-1.65198499;1.74065842;1.41002199;1.62824408;0.21803539;0.00000000;0.00000000
28;2.80000000;0.00000000;24.65313788;-1.55225206;1.72511418;1.43313350;1.64896576;0.19751467;0.00000000;0.00000000
29;2.90000000;0.00000000;24.64434986;-1.45267188;1.69147913;1.44877690;1.66774701;0.18051280;0.00000000;0.00000000
30;3.00000000;0.00000000;24.63378512;-1.35326339;1.66491064;1.44945902;1.68506832;0.17068568;0.00000000;0.00000000
31;3.10000000;0.00000000;24.62155316;-1.25404595;1.64565453;1.45534658;1.70188415;0.16478281;0.00000000;0.00000000
32;3.20000000;0.00000000;24.60765150;-1.15504700;1.63398056;1.46636976;1.71802488;0.18656629;0.00000000;0.00000000
33;3.30000000;0.00000000;24.59222361;-1.05627636;1.62991465;1.47720451;1.73919740;0.19908968;0.00000000;0.00000000
34;3.40000000;0.00000000;24.57414329;-0.95795293;1.63465824;1.49111400;1.75784282;0.13970238;0.00000000;0.00000000
35;3.50000000;0.00000000;24.55504299;-0.85982256;1.64598714;1.49596268;1.76713788;0.09242772;0.00000000;0.00000000
36;3.60000000;0.00000000;24.53513814;-0.76185258;1.61936330;1.50268517;1.77632836;0.08998896;0.00000000;0.00000000
37;3.70000000;0.00000000;24.51423766;-0.66409089;1.59956065;1.51498064;1.78513567;0.07059188;0.00000000;0.00000000
38;3.80000000;0.00000000;24.49261031;-0.56648685;1.58656430;1.53298114;1.79044674;0.06296090;0.00000000;0.00000000
39;3.90000000;0.00000000;24.47067236;-0.46895166;1.58011755;1.55689800;1.79772785;0.08783699;0.00000000;0.00000000
40;4.00000000;0.00000000;24.44762697;-0.37167701;1.57229717;1.58568559;1.80801413;0.07486893;0.00000000;0.00000000
41;4.10000000;0.00000000;24.42368730;-0.27461371;1.55125278;1.58676716;1.81270164;0.03022466;0.00000000;0.00000000
42;4.20000000;0.00000000;24.39972982;-0.17755480;1.53262603;1.59239496;1.81405907;0.02576371;0.00000000;0.00000000
43;4.30000000;0.00000000;24.37552695;-0.08055774;1.51850285;1.60399462;1.81785438;0.01711365;0.00000000;0.00000000
44;4.40000000;0.00000000;24.35083352;0.01631623;1.51138177;1.62119065;1.81748180;-0.03629317;0.00000000;0.00000000
45;4.50000000;0.00000000;24.32670280;0.11333180;1.51027646;1.63735884;1.81059574;-0.08656872;0.00000000;0.00000000
46;4.60000000;0.00000000;24.30334599;0.21053597;1.51498446;1.62825265;1.80016805;-0.11157633;0.00000000;0.00000000
47;4.70000000;0.00000000;24.28124369;0.30803354;1.50294534;1.62610554;1.78828048;-0.09139464;0.00000000;0.00000000
48;4.80000000;0.00000000;24.26020410;0.40576649;1.49385288;1.62584805;1.78188912;-0.09063241;0.00000000;0.00000000
49;4.90000000;0.00000000;24.23934992;0.50353829;1.49123166;1.63191570;1.77015400;-0.12646868;0.00000000;0.00000000
50;5.00000000;0.00000000;24.22060973;0.60173806;1.49315211;1.62478459;1.75659539;-0.05391972;0.00000000;0.00000000
51;5.10000000;0.00000000;24.20241405;0.70004020;1.50074255;1.61673410;1.75937005;0.02223365;0.00000000;0.00000000
52;5.20000000;0.00000000;24.18312919;0.79813448;1.49101793;1.61373548;1.76104212;-0.03579280;0.00000000;0.00000000
53;5.30000000;0.00000000;24.16460489;0.89637517;1.48134670;1.61769705;1.75221149;-0.09923456;0.00000000;0.00000000
54;5.40000000;0.00000000;24.14705546;0.99479455;1.47739667;1.62878221;1.74119521;-0.07649306;0.00000000;0.00000000
55;5.50000000;0.00000000;24.13070003;1.09341918;1.47899389;1.63754481;1.73691288;-0.00640463;0.00000000;0.00000000
56;5.60000000;0.00000000;24.11399413;1.19198537;1.48767714;1.63295689;1.73991428;-0.05974141;0.00000000;0.00000000
57;5.70000000;0.00000000;24.09704691;1.29051040;1.50321502;1.63423767;1.72496460;-0.16868392;0.00000000;0.00000000
58;5.80000000;0.00000000;24.08329597;1.38952645;1.51694607;1.64482662;1.70617750;-0.11659514;0.00000000;0.00000000
59;5.90000000;0.00000000;24.07006174;1.48861856;1.53016275;1.66188693;1.70164557;-0.08465558;0.00000000;0.00000000
60;6.00000000;0.00000000;24.05720811;1.58776068;1.54300051;1.65727183;1.68924638;-0.13479689;0.00000000;0.00000000
61;6.10000000;0.00000000;24.04643537;1.68714756;1.54845035;1.64650493;1.67468619;-0.11271238;0.00000000;0.00000000
62;6.20000000;0.00000000;24.03647381;1.78662178;1.52658818;1.63654864;1.66670390;-0.08392172;0.00000000;0.00000000
63;6.30000000;0.00000000;24.02728881;1.88617053;1.51026335;1.62736835;1.65790185;-0.09790196;0.00000000;0.00000000
64;6.40000000;0.00000000;24.01907990;1.98580428;1.49945857;1.61916341;1.64712351;-0.11745335;0.00000000;0.00000000
65;6.50000000;0.00000000;24.01204285;2.08552738;1.49409914;1.61212944;1.63441118;-0.13656853;0.00000000;0.00000000
66;6.60000000;0.00000000;24.00636950;2.18533703;1.49405325;1.60645827;1.61980981;-0.15520978;0.00000000;0.00000000
67;6.70000000;0.00000000;24.00224726;2.28522240;1.49817660;1.60233733;1.60336922;-0.17331737;0.00000000;0.00000000
68;6.80000000;0.00000000;23.99985826;2.38516386;1.50056585;1.59994896;1.58514633;-0.14890881;0.00000000;0.00000000
69;6.90000000;0.00000000;23.99937835;2.48513230;1.50104592;1.59946928;1.57358746;-0.11080772;0.00000000;0.00000000
70;7.00000000;0.00000000;23.99930020;2.58510423;1.50207730;1.59939130;1.56298479;-0.14818368;0.00000000;0.00000000
71;7.10000000;0.00000000;24.00094013;2.68506021;1.50803289;1.60103147;1.54395072;-0.20323287;0.00000000;0.00000000
72;7.20000000;0.00000000;24.00466672;2.78495949;1.51848710;1.60475880;1.52233822;-0.22322405;0.00000000;0.00000000
73;7.30000000;0.00000000;24.01062429;2.88474983;1.52812217;1.61071814;1.49930591;-0.23318791;0.00000000;0.00000000
74;7.40000000;0.00000000;24.01894700;2.98437003;1.54075335;1.61904436;1.47570063;-0.20397852;0.00000000;0.00000000
75;7.50000000;0.00000000;24.02960725;3.08376725;1.55740610;1.62971051;1.45851021;-0.16437637;0.00000000;0.00000000
76;7.60000000;0.00000000;24.04134986;3.18304663;1.55865522;1.61364937;1.44282536;-0.18880091;0.00000000;0.00000000
77;7.70000000;0.00000000;24.05512224;3.28205875;1.54488081;1.60054246;1.42075003;-0.23252489;0.00000000;0.00000000
78;7.80000000;0.00000000;24.07123428;3.38071770;1.53213150;1.59597578;1.39632038;-0.22462233;0.00000000;0.00000000
79;7.90000000;0.00000000;24.08982561;3.47893694;1.52332311;1.60017632;1.37582556;-0.18490325;0.00000000;0.00000000
80;8.00000000;0.00000000;24.10996786;3.57685752;1.51946793;1.61214659;1.35933973;-0.18630177;0.00000000;0.00000000
81;8.10000000;0.00000000;24.13178747;3.67441234;1.52046807;1.63184510;1.33856521;-0.22646668;0.00000000;0.00000000
82;8.20000000;0.00000000;24.15597758;3.77140341;1.52559581;1.64957024;1.31404640;-0.22441393;0.00000000;0.00000000
83;8.30000000;0.00000000;24.18255273;3.86777105;1.53477870;1.64566312;1.29368242;-0.17325220;0.00000000;0.00000000
84;8.40000000;0.00000000;24.21067451;3.96370561;1.52458352;1.64775688;1.27939596;-0.16752780;0.00000000;0.00000000
85;8.50000000;0.00000000;24.23999178;4.05927382;1.51964749;1.63622283;1.26017686;-0.22508688;0.00000000;0.00000000
86;8.60000000;0.00000000;24.27177749;4.15405123;1.51636127;1.62218559;1.23437858;-0.24568123;0.00000000;0.00000000
87;8.70000000;0.00000000;24.30598632;4.24798524;1.51330706;1.61679227;1.21104061;-0.24183862;0.00000000;0.00000000
88;8.80000000;0.00000000;24.34216175;4.34118171;1.49809471;1.61966894;1.18601086;-0.22837229;0.00000000;0.00000000
89;8.90000000;0.00000000;24.38102914;4.43328882;1.48475690;1.62604061;1.16536616;-0.18076705;0.00000000;0.00000000
90;9.00000000;0.00000000;24.42102072;4.52491270;1.47685280;1.62826933;1.14985745;-0.18508001;0.00000000;0.00000000
91;9.10000000;0.00000000;24.46272455;4.61576719;1.47381732;1.63135281;1.12835015;-0.22044075;0.00000000;0.00000000
92;9.20000000;0.00000000;24.50661582;4.70557986;1.47513593;1.63878854;1.10576930;-0.20203330;0.00000000;0.00000000
93;9.30000000;0.00000000;24.55237785;4.79445716;1.48112603;1.64990488;1.08794349;-0.16117687;0.00000000;0.00000000
94;9.40000000;0.00000000;24.59944532;4.88265352;1.48603388;1.66725414;1.07353392;-0.15423853;0.00000000;0.00000000
95;9.50000000;0.00000000;24.64774984;4.97017605;1.48378693;1.67549028;1.05709579;-0.18864768;0.00000000;0.00000000
96;9.60000000;0.00000000;24.69768857;5.05677355;1.48639312;1.68164086;1.03580439;-0.22553309;0.00000000;0.00000000
97;9.70000000;0.00000000;24.74967539;5.14216096;1.49332806;1.69483221;1.01198917;-0.22313226;0.00000000;0.00000000
98;9.80000000;0.00000000;24.80368435;5.22628840;1.49987275;1.68115446;0.99117794;-0.18728495;0.00000000;0.00000000
99;9.90000000;0.00000000;24.85918119;5.30944162;1.49706323;1.66158111;0.97453218;-0.16028276;0.00000000;0.00000000
100;10.00000000;0.00000000;24.91595921;5.39172294;1.49397971;1.64736082;0.95912138;-0.16456703;0.00000000;0.00000000
101;10.10000000;0.00000000;24.97399021;5.47312365;1.49517804;1.64065524;0.94161877;-0.17376525;0.00000000;0.00000000
102;10.20000000;0.00000000;25.03360893;5.55336170;1.50108093;1.64199367;0.92436833;-0.14079911;0.00000000;0.00000000
103;10.30000000;0.00000000;25.09441520;5.63271503;1.51211442;1.65087309;0.91345895;-0.12548165;0.00000000;0.00000000
104;10.40000000;0.00000000;25.15577331;5.71163704;1.52452396;1.65799246;0.89927200;-0.16223276;0.00000000;0.00000000
105;10.50000000;0.00000000;25.21880645;5.78923354;1.53481516;1.64768478;0.88101240;-0.18010922;0.00000000;0.00000000
106;10.60000000;0.00000000;25.28300803;5.86586601;1.54360036;1.63888793;0.86325016;-0.17407247;0.00000000;0.00000000
107;10.70000000;0.00000000;25.34875428;5.94117116;1.55035662;1.63212486;0.84619791;-0.15954369;0.00000000;0.00000000
108;10.80000000;0.00000000;25.41552996;6.01556827;1.55574388;1.62673339;0.83134142;-0.16310258;0.00000000;0.00000000
109;10.90000000;0.00000000;25.48348274;6.08888508;1.55953573;1.62293927;0.81357739;-0.18524664;0.00000000;0.00000000
110;11.00000000;0.00000000;25.55285691;6.16086134;1.56137528;1.62109894;0.79429209;-0.19614692;0.00000000;0.00000000
111;11.10000000;0.00000000;25.62359032;6.23150730;1.56131334;1.62649197;0.77434800;-0.17547898;0.00000000;0.00000000
112;11.20000000;0.00000000;25.69578330;6.30066341;1.55916573;1.64004069;0.75919630;-0.13963862;0.00000000;0.00000000
113;11.30000000;0.00000000;25.76862551;6.36913452;1.55607448;1.65432186;0.74642028;-0.13241108;0.00000000;0.00000000
114;11.40000000;0.00000000;25.84255822;6.43642025;1.55137335;1.64352377;0.73271408;-0.12398066;0.00000000;0.00000000
115;11.50000000;0.00000000;25.91724935;6.50286880;1.54554345;1.63989331;0.72162415;-0.12042760;0.00000000;0.00000000
116;11.60000000;0.00000000;25.99265652;6.56849858;1.54285599;1.64321333;0.70862856;-0.12076558;0.00000000;0.00000000
117;11.70000000;0.00000000;26.06904987;6.63298413;1.54513149;1.61952171;0.69747103;-0.09215620;0.00000000;0.00000000
118;11.80000000;0.00000000;26.14590609;6.69691781;1.55313356;1.59709783;0.69019732;-0.09036361;0.00000000;0.00000000
119;11.90000000;0.00000000;26.22322945;6.76028527;1.56676046;1.58141797;0.67939831;-0.13884405;0.00000000;0.00000000
120;12.00000000;0.00000000;26.30144539;6.82254171;1.57112790;1.57337502;0.66242851;-0.18210102;0.00000000;0.00000000
121;12.10000000;0.00000000;26.38086694;6.88324307;1.56373967;1.57362923;0.64297811;-0.17833654;0.00000000;0.00000000
122;12.20000000;0.00000000;26.46144546;6.94241107;1.56080311;1.57633682;0.62676120;-0.12519229;0.00000000;0.00000000
123;12.30000000;0.00000000;26.54280160;7.00051062;1.56294400;1.58640220;0.61793965;-0.09077012;0.00000000;0.00000000
124;12.40000000;0.00000000;26.62441408;7.05824967;1.57101543;1.57755720;0.60860718;-0.11296455;0.00000000;0.00000000
125;12.50000000;0.00000000;26.70683910;7.11481976;1.56999545;1.56048679;0.59534674;-0.12592473;0.00000000;0.00000000
126;12.60000000;0.00000000;26.78995178;7.17037287;1.56410601;1.55091484;0.58342223;-0.11330475;0.00000000;0.00000000
127;12.70000000;0.00000000;26.87370178;7.22496093;1.56343900;1.54204309;0.57268579;-0.09640564;0.00000000;0.00000000
128;12.80000000;0.00000000;26.95798969;7.27871772;1.56816716;1.53548585;0.56414111;-0.09264062;0.00000000;0.00000000
129;12.90000000;0.00000000;27.04266199;7.33186770;1.56541913;1.53614133;0.55415767;-0.10683271;0.00000000;0.00000000
130;13.00000000;0.00000000;27.12800702;7.38393131;1.55689629;1.54162221;0.54277456;-0.11652550;0.00000000;0.00000000
131;13.10000000;0.00000000;27.21386680;7.43513971;1.55376995;1.54360867;0.53085256;-0.12166507;0.00000000;0.00000000
132;13.20000000;0.00000000;27.30042541;7.48515174;1.55568583;1.54305704;0.51844155;-0.10822480;0.00000000;0.00000000
133;13.30000000;0.00000000;27.38752949;7.53421329;1.56291325;1.55006148;0.50920760;-0.08230545;0.00000000;0.00000000
134;13.40000000;0.00000000;27.47499986;7.58261995;1.57127400;1.56417963;0.50198046;-0.08608135;0.00000000;0.00000000
135;13.50000000;0.00000000;27.56280467;7.63041777;1.57799018;1.58516659;0.49199133;-0.09158848;0.00000000;0.00000000
136;13.60000000;0.00000000;27.65122515;7.67706767;1.58968531;1.60971995;0.48366276;-0.06938550;0.00000000;0.00000000
137;13.70000000;0.00000000;27.73981416;7.72339648;1.60716953;1.61940226;0.47811423;-0.05752561;0.00000000;0.00000000
138;13.80000000;0.00000000;27.82874580;7.76906176;1.62597889;1.61438815;0.47215764;-0.04865737;0.00000000;0.00000000
139;13.90000000;0.00000000;27.91788049;7.81433197;1.62062900;1.61461557;0.46838276;-0.04050626;0.00000000;0.00000000
140;14.00000000;0.00000000;28.00715497;7.85932486;1.60441540;1.60874451;0.46405639;-0.04727062;0.00000000;0.00000000
141;14.10000000;0.00000000;28.09667794;7.90382208;1.58689163;1.59494255;0.45892863;-0.03064912;0.00000000;0.00000000
142;14.20000000;0.00000000;28.18640960;7.94789728;1.57505939;1.58381067;0.45792656;-0.01552807;0.00000000;0.00000000
143;14.30000000;0.00000000;28.27602168;7.99221505;1.56978874;1.57685844;0.45582302;-0.02424315;0.00000000;0.00000000
144;14.40000000;0.00000000;28.36593727;8.03591201;1.57018504;1.57075050;0.45307793;-0.00983782;0.00000000;0.00000000
145;14.50000000;0.00000000;28.45579091;8.07973693;1.57707330;1.56528579;0.45385546;-0.00689683;0.00000000;0.00000000
146;14.60000000;0.00000000;28.54563875;8.12357382;1.58116894;1.56618296;0.45169857;-0.02846741;0.00000000;0.00000000
147;14.70000000;0.00000000;28.63568089;8.16701086;1.57519750;1.57388641;0.44816197;0.00236453;0.00000000;0.00000000
148;14.80000000;0.00000000;28.72583669;8.21021121;1.56183658;1.58622913;0.45217147;0.04461351;0.00000000;0.00000000
149;14.90000000;0.00000000;28.81552775;8.25436897;1.54715375;1.57871312;0.45708468;0.02349451;0.00000000;0.00000000
150;15.00000000;0.00000000;28.90525494;8.29845325;1.53875700;1.57530514;0.45687037;0.02138647;0.00000000;0.00000000
151;15.10000000;0.00000000;28.99496492;8.34257255;1.53321532;1.57819621;0.46136197;0.06754338;0.00000000;0.00000000
152;15.20000000;0.00000000;29.08428945;8.38745957;1.53264231;1.57912798;0.47037905;0.08055974;0.00000000;0.00000000
153;15.30000000;0.00000000;29.17318909;8.43318936;1.53951801;1.58112860;0.47747392;0.07337824;0.00000000;0.00000000
154;15.40000000;0.00000000;29.26186972;8.47934037;1.55328076;1.58895532;0.48505470;0.07945469;0.00000000;0.00000000
155;15.50000000;0.00000000;29.35006598;8.52641277;1.57429982;1.60196420;0.49336486;0.07361411;0.00000000;0.00000000
156;15.60000000;0.00000000;29.43796833;8.57403178;1.60188724;1.60771086;0.49977752;0.07962085;0.00000000;0.00000000
157;15.70000000;0.00000000;29.52555329;8.62223124;1.62953519;1.60851960;0.50928903;0.10514771;0.00000000;0.00000000
158;15.80000000;0.00000000;29.61253122;8.67151218;1.63958170;1.58945758;0.52080706;0.10625996;0.00000000;0.00000000
159;15.90000000;0.00000000;29.69898198;8.72171582;1.63725121;1.56582423;0.53054102;0.09513497;0.00000000;0.00000000
160;16.00000000;0.00000000;29.78498549;8.77268144;1.61855232;1.54742340;0.53983406;0.09863093;0.00000000;0.00000000
161;16.10000000;0.00000000;29.87048843;8.82448319;1.60097684;1.53435414;0.55026720;0.13442400;0.00000000;0.00000000
162;16.20000000;0.00000000;29.95541110;8.87723293;1.59061434;1.52661785;0.56671886;0.14086596;0.00000000;0.00000000
163;16.30000000;0.00000000;30.03916384;8.93181963;1.58867398;1.52323046;0.57844040;0.08675512;0.00000000;0.00000000
164;16.40000000;0.00000000;30.12282666;8.98654553;1.59318272;1.52623188;0.58406988;0.09434299;0.00000000;0.00000000
165;16.50000000;0.00000000;30.20595797;9.04207070;1.60487174;1.53479616;0.59730899;0.15487863;0.00000000;0.00000000
166;16.60000000;0.00000000;30.28813622;9.09898803;1.62429325;1.52844967;0.61504561;0.16926775;0.00000000;0.00000000
167;16.70000000;0.00000000;30.36924588;9.15742640;1.64795152;1.52187314;0.63116254;0.14551317;0.00000000;0.00000000
168;16.80000000;0.00000000;30.44955255;9.21696670;1.65447920;1.52048623;0.64414824;0.13673953;0.00000000;0.00000000
169;16.90000000;0.00000000;30.52911958;9.27749340;1.66074507;1.52443387;0.65851045;0.17037284;0.00000000;0.00000000
170;17.00000000;0.00000000;30.60768332;9.33931579;1.65341790;1.53327149;0.67822281;0.17937615;0.00000000;0.00000000
171;17.10000000;0.00000000;30.68479796;9.40292756;1.65442005;1.54281839;0.69438568;0.14425717;0.00000000;0.00000000
172;17.20000000;0.00000000;30.76132282;9.46725694;1.66237159;1.54788661;0.70707424;0.15594308;0.00000000;0.00000000
173;17.30000000;0.00000000;30.83679557;9.53280254;1.67783949;1.51604274;0.72557430;0.17834236;0.00000000;0.00000000
174;17.40000000;0.00000000;30.91088588;9.59991620;1.69012140;1.48820361;0.74274271;0.13762147;0.00000000;0.00000000
175;17.50000000;0.00000000;30.98407106;9.66802083;1.69260045;1.46534502;0.75309859;0.14157645;0.00000000;0.00000000
176;17.60000000;0.00000000;31.05675679;9.73665574;1.70168504;1.44831610;0.77105800;0.20269078;0.00000000;0.00000000
177;17.70000000;0.00000000;31.12744937;9.80734486;1.71936330;1.43519848;0.79363675;0.19197869;0.00000000;0.00000000
178;17.80000000;0.00000000;31.19696315;9.87919154;1.74419797;1.42732015;0.80945374;0.15359588;0.00000000;0.00000000
179;17.90000000;0.00000000;31.26538280;9.95207934;1.73186721;1.42416377;0.82435592;0.16421986;0.00000000;0.00000000
180;18.00000000;0.00000000;31.33272364;10.02596447;1.71677454;1.41954151;0.84229771;0.19429294;0.00000000;0.00000000
181;18.10000000;0.00000000;31.39847910;10.10125410;1.70952657;1.41353673;0.86321451;0.21031846;0.00000000;0.00000000
182;18.20000000;0.00000000;31.46267066;10.17789017;1.71017089;1.41252569;0.88436140;0.23510620;0.00000000;0.00000000
183;18.30000000;0.00000000;31.52518127;10.25588960;1.71879780;1.41641896;0.91023575;0.25956124;0.00000000;0.00000000
184;18.40000000;0.00000000;31.58532239;10.33574239;1.73273059;1.42433710;0.93627365;0.24060903;0.00000000;0.00000000
185;18.50000000;0.00000000;31.64369569;10.41690048;1.74883562;1.43322680;0.95835755;0.21687965;0.00000000;0.00000000
186;18.60000000;0.00000000;31.70025512;10.49933486;1.76712554;1.41738502;0.97964958;0.20169428;0.00000000;0.00000000
187;18.70000000;0.00000000;31.75512049;10.58290443;1.77990089;1.40644308;0.99869641;0.18057051;0.00000000;0.00000000
188;18.80000000;0.00000000;31.80849764;10.66743023;1.77835707;1.39552127;1.01576368;0.15436793;0.00000000;0.00000000
189;18.90000000;0.00000000;31.86047780;10.75282156;1.77109955;1.38849866;1.02957000;0.13200631;0.00000000;0.00000000
190;19.00000000;0.00000000;31.91150208;10.83879075;1.75744758;1.38753942;1.04216495;0.14370163;0.00000000;0.00000000
191;19.10000000;0.00000000;31.96131339;10.92546159;1.75081109;1.39237267;1.05831032;0.15747510;0.00000000;0.00000000
192;19.20000000;0.00000000;32.00953514;11.01303238;1.75169545;1.39820772;1.07365997;0.13751189;0.00000000;0.00000000
193;19.30000000;0.00000000;32.05666554;11.10119677;1.75078362;1.40102837;1.08581270;0.09970560;0.00000000;0.00000000
194;19.40000000;0.00000000;32.10274576;11.18991547;1.75490254;1.40976704;1.09360109;0.06780699;0.00000000;0.00000000
195;19.50000000;0.00000000;32.14849753;11.27880396;1.76505121;1.40918215;1.09937410;0.06628241;0.00000000;0.00000000
196;19.60000000;0.00000000;32.19355004;11.36804816;1.73581763;1.41125618;1.10685757;0.07033108;0.00000000;0.00000000
197;19.70000000;0.00000000;32.23796605;11.45761084;1.71126322;1.41967464;1.11344032;0.06047951;0.00000000;0.00000000
198;19.80000000;0.00000000;32.28183983;11.54744058;1.69286425;1.43443097;1.11895347;0.04980437;0.00000000;0.00000000
199;19.90000000;0.00000000;32.32526578;11.63748791;1.68071749;1.44316279;1.12340119;0.03913769;0.00000000;0.00000000
200;20.00000000;0.00000000;32.36833893;11.72770473;1.66902642;1.45158927;1.12678101;0.02840789;0.00000000;0.00000000
201;20.10000000;0.00000000;32.41115533;11.81804379;1.64727312;1.46651726;1.12908277;0.00052389;0.00000000;0.00000000
202;20.20000000;0.00000000;32.45381276;11.90845805;1.63154102;1.48785616;1.12688579;-0.02667416;0.00000000;0.00000000
203;20.30000000;0.00000000;32.49702570;11.99860812;1.61960556;1.50166921;1.12374794;-0.00439070;0.00000000;0.00000000
204;20.40000000;0.00000000;32.54024969;12.08875289;1.59257031;1.51211093;1.12600765;0.02229084;0.00000000;0.00000000
205;20.50000000;0.00000000;32.58305464;12.17909708;1.57189773;1.52857662;1.12820610;-0.00613895;0.00000000;0.00000000
206;20.60000000;0.00000000;32.62588183;12.26943098;1.55735592;1.55134645;1.12477986;-0.04307943;0.00000000;0.00000000
207;20.70000000;0.00000000;32.66930438;12.35947871;1.54848257;1.56831443;1.11959022;-0.04391512;0.00000000;0.00000000
208;20.80000000;0.00000000;32.71306684;12.44936324;1.54106324;1.58101791;1.11599683;-0.05451928;0.00000000;0.00000000
209;20.90000000;0.00000000;32.75713506;12.53909588;1.52041774;1.60021187;1.10868636;-0.08594076;0.00000000;0.00000000
210;21.00000000;0.00000000;32.80220677;12.62833053;1.50502529;1.62641294;1.09880868;-0.11090972;0.00000000;0.00000000
211;21.10000000;0.00000000;32.84803912;12.71717538;1.48966890;1.65903700;1.08650442;-0.14845840;0.00000000;0.00000000
212;21.20000000;0.00000000;32.89529243;12.80527315;1.46648192;1.69839487;1.06911700;-0.19768075;0.00000000;0.00000000
213;21.30000000;0.00000000;32.94418628;12.89247126;1.44798014;1.70910244;1.04696827;-0.20224192;0.00000000;0.00000000
214;21.40000000;0.00000000;32.99529523;12.97839139;1.43366888;1.71083001;1.02866862;-0.14725105;0.00000000;0.00000000
215;21.50000000;0.00000000;33.04734770;13.06374312;1.42513774;1.71917304;1.01751805;-0.16763578;0.00000000;0.00000000
216;21.60000000;0.00000000;33.10035967;13.14850184;1.42246529;1.73436224;0.99514146;-0.23301979;0.00000000;0.00000000
217;21.70000000;0.00000000;33.15617485;13.23143374;1.40874553;1.75836047;0.97091410;-0.21786799;0.00000000;0.00000000
218;21.80000000;0.00000000;33.21322947;13.31352486;1.38592451;1.78905247;0.95156786;-0.19239934;0.00000000;0.00000000
219;21.90000000;0.00000000;33.27221164;13.39423643;1.36442190;1.81474816;0.93243423;-0.18308957;0.00000000;0.00000000
220;22.00000000;0.00000000;33.33236485;13.47408445;1.34855199;1.82967544;0.91494995;-0.20348634;0.00000000;0.00000000
221;22.10000000;0.00000000;33.39413244;13.55268405;1.33793549;1.83484773;0.89173696;-0.24514045;0.00000000;0.00000000
